region,	One,	Two
alabama,	246.076028620139,	272.0195906
arizona,	250.576687598564,	272.8500908
arkansas,	252.628818117249,	274.8435991
california,	250.818043955129,	276.2363659
colorado,	256.211802430693,	280.9294477
connecticut,	255.752266237546,	284.2722211
delaware,	255.233841555897,	275.545238
district of columbia,	240.724614942875,	271.3077469
florida,	257.219540521004,	276.9000058
georgia,	255.266523443489,	277.7025843
idaho,	261.204715336921,	277.466167
illinois,	251.984987786915,	279.5813958
indiana,	257.171658326836,	275.8203976
iowa,	256.593026147578,	276.6357114
kansas,	254.13283504068,	277.5529482
kentucky,	257.961299515597,	280.7450942
louisiana,	250.277096852145,	270.8404798
maine,	260.224994207915,	275.7922572
maryland,	259.896646569448,	282.699863
massachusetts,	259.58567793973,	287.7969166
michigan,	253.971859117868,	276.0601528
minnesota,	254.55333048945,	279.0524484
mississippi,	245.982211987598,	269.1525419
missouri,	256.341976543151,	277.0320373
montana,	261.218061749655,	278.47835
nebraska,	257.207148360866,	278.39019
nevada,	253.700420041135,	271.699742
new hampshire,	259.023042672751,	279.0039578
new jersey,	260.937245598818,	284.5737014
new mexico,	249.809030295969,	269.7354428
new york,	253.054974764674,	277.5098316
north carolina,	253.058084327705,	278.44826
north dakota,	254.517424544071,	273.3160291
ohio,	254.208636684272,	279.5999662
oklahoma,	253.734513921193,	271.2417869
oregon,	257.511459323596,	281.3629939
pennsylvania,	258.04579744227,	281.666382
rhode island,	251.936057410974,	278.1069965
south carolina,	250.144924209748,	274.7453178
south dakota,	258.707657935897,	273.3542302
tennessee,	256.090652170214,	275.8241757
texas,	254.059465157576,	276.1136376
utah,	259.533694244759,	276.3862294
vermont,	261.10850790499,	282.2990688
virginia,	251.477343684055,	276.4866254
washington,	258.177892796908,	282.9155596
west virginia,	250.053712096496,	266.9281885
wisconsin,	253.900476613818,	276.3488878
wyoming,	262.337663982288,	275.942591